Algorithm: Kruskal's MST

MST edges:
1426 7692 1
1660 1688 1
1436 2233 1
8566 9915 1
3240 3765 1
3685 5235 1
1431 8540 1
3688 5047 1
2201 5759 1
993 6957 1
2195 6874 1
9110 9242 1
497 916 1
1116 5157 1
3703 5974 1
2644 7850 1
2670 6022 1
1681 4295 1
986 2952 1
3216 6042 1
2675 5295 1
5983 7178 1
138 472 1
708 793 1
1691 3547 1
5391 9313 1
5972 6597 1
5394 6966 1
4288 8648 1
3636 4654 1
3277 4768 1
520 6802 1
4378 8895 1
2270 3764 1
291 8161 1
6066 7670 1
5154 9157 1
680 7419 1
1640 8690 1
4368 5640 1
4361 7446 1
6489 9309 1
6030 9369 1
6028 7608 1
5395 9448 1
144 158 1
3256 8622 1
510 8706 1
7859 8888 1
690 5695 1
170 2013 1
75 1466 1
4347 5897 1
2234 3965 1
76 148 1
8580 8934 1
4342 8530 1
1657 5806 1
2115 8972 1
4706 4923 1
747 3563 1
4706 6470 1
2734 3738 1
273 7535 1
7515 9311 1
22 2990 1
455 2918 1
9237 9933 1
2119 9679 1
5423 5544 1
3787 8568 1
4711 8894 1
759 1543 1
747 3062 1
8083 9134 1
3159 3667 1
2105 5230 1
21 358 1
2100 4595 1
3156 9045 1
1741 5694 1
1140 9698 1
1376 1648 1
2756 9902 1
1741 6819 1
769 7687 1
1371 2957 1
6604 9773 1
26 8717 1
6592 7557 1
4679 5602 1
1705 8677 1
2146 8000 1
725 886 1
6597 9151 1
5401 9346 1
3193 9969 1
4272 5324 1
2142 4306 1
2142 2811 1
2141 6495 1
2282 6215 1
4265 8887 1
3182 5215 1
4264 4946 1
733 5764 1
2136 5498 1
7331 7849 1
6629 9131 1
5416 7457 1
3771 8183 1
3175 4526 1
3174 8353 1
1398 3976 1
132 2518 1
7576 8647 1
6246 7293 1
607 8792 1
1558 3800 1
1559 3982 1
1064 2586 1
4545 7149 1
1503 9376 1
2397 5342 1
4467 5047 1
6233 8002 1
6361 9504 1
1085 2675 1
6225 6585 1
6221 6783 1
2409 8660 1
2372 8145 1
3363 9297 1
312 5045 1
554 8040 1
214 5171 1
623 1011 1
3357 6584 1
6386 9896 1
553 4309 1
5258 6733 1
2529 4391 1
1585 2208 1
2357 2367 1
6322 8456 1
6306 6804 1
