Algorithm: Kruskal's MST

MST edges:
20 89 1
44 56 1
87 94 2
4 29 2
59 88 2
29 61 2
51 98 2
30 51 3
56 96 3
5 27 4
38 95 5
12 75 5
51 79 5
23 88 6
26 65 6
43 59 6
52 88 6
60 80 7
45 53 7
29 92 7
9 47 8
10 63 8
32 78 9
11 44 9
54 91 11
23 98 11
9 31 11
83 99 11
3 40 13
63 95 13
67 98 14
91 93 14
44 62 15
19 85 15
28 64 15
64 74 15
4 6 15
11 77 16
4 7 16
44 52 16
11 70 17
38 83 17
18 72 18
12 24 19
45 70 19
53 86 19
2 72 20
48 54 20
31 74 21
12 20 21
56 71 21
26 66 21
25 27 21
41 46 21
20 49 22
3 14 23
30 66 23
27 67 23
16 94 24
3 22 24
24 55 24
2 15 25
19 79 25
12 91 25
30 63 25
6 73 26
13 17 27
61 65 27
17 76 28
47 60 28
74 90 30
37 97 30
5 12 30
21 28 31
37 46 33
74 85 33
26 34 33
27 42 33
0 94 35
26 40 35
2 78 36
17 19 36
62 82 42
33 50 43
61 94 45
18 21 46
22 50 49
36 68 51
27 37 52
6 84 54
69 80 55
39 89 57
60 81 58
0 1 59
21 36 68
58 83 68
13 57 84
18 35 89
1 8 95

Total MST weight: 2421

Execution Time: 1.149 ms
