Algorithm: Kruskal's MST

MST edges:
2979 9448 1
16 455 1
2623 6137 1
826 5304 1
5833 6007 1
7376 7589 1
5824 7340 1
839 8354 1
274 4445 1
5803 8305 1
147 3409 1
862 1872 1
3455 7719 1
5759 8541 1
2983 3407 1
4717 5946 1
793 1146 1
4724 7359 1
892 6885 1
2975 5054 1
1647 1818 1
266 682 1
5672 6179 1
924 935 1
262 3857 1
1636 6312 1
1636 1978 1
1630 1830 1
932 2725 1
5628 5630 1
1616 5466 1
736 747 1
682 985 1
685 4993 1
6128 8137 1
6114 7944 1
6083 8919 1
1902 2723 1
299 975 1
719 759 1
4457 4661 1
1887 5835 1
6047 6334 1
127 3008 1
2563 7043 1
3067 3667 1
942 1479 1
13 788 1
131 2143 1
4554 8940 1
741 6266 1
1772 7139 1
6020 6410 1
1766 8020 1
758 1876 1
9293 9661 1
15 396 1
8043 8331 1
8036 8643 1
4629 6783 1
784 9792 1
7625 9303 1
1472 3526 1
5328 7592 1
1137 4143 1
1150 1656 1
1451 4845 1
1160 1445 1
2856 5339 1
5298 6115 1
4940 8429 1
5270 9051 1
1185 2834 1
1442 3154 1
5264 9730 1
4967 5042 1
5247 8416 1
5361 7839 1
2725 7415 1
3567 5071 1
5002 5769 1
2833 4186 1
192 2058 1
5024 6638 1
1224 5150 1
1354 6869 1
3628 6269 1
5058 5646 1
3579 5089 1
1338 4597 1
1323 1402 1
5153 7580 1
1551 9632 1
5611 7649 1
2648 4309 1
3486 9025 1
960 2733 1
967 3484 1
974 3876 1
5567 7882 1
160 7725 1
979 7032 1
4800 7578 1
1565 2349 1
9090 9555 1
166 2122 1
2921 9477 1
374 3767 1
1532 3078 1
5442 7792 1
2901 5047 1
24 342 1
1524 5782 1
4871 6302 1
1062 6064 1
1069 1249 1
3691 5945 1
1076 2488 1
1509 5355 1
1499 9505 1
234 3344 1
1098 4890 1
3293 5321 1
3332 8479 1
3228 8877 1
6703 8713 1
4248 4520 1
4251 7883 1
6722 6799 1
350 626 1
461 9552 1
7162 9671 1
7 2020 1
7074 7157 1
76 3396 1
9446 9846 1
4036 6159 1
3290 5609 1
6366 7209 1
8670 9049 1
2026 3943 1
6834 9457 1
426 2379 1
105 9040 1
6294 6421 1
2349 7915 1
481 659 1
3937 8543 1
