Algorithm: Kruskal's MST

MST edges:
20073 33157 1
428 1700 1
24914 33855 1
5314 16425 1
5322 38932 1
9095 43537 1
14028 49592 1
3357 7071 1
39291 40823 1
5347 14957 1
3372 21900 1
2313 11772 1
20055 43730 1
20036 41802 1
24946 46223 1
20008 44395 1
14057 27893 1
5387 10839 1
19962 34687 1
440 30932 1
39399 46257 1
24808 33239 1
24814 49101 1
24832 47234 1
31801 33503 1
3395 47877 1
31803 36143 1
20172 20872 1
39407 43134 1
31815 35056 1
14076 27565 1
1520 41607 1
1518 9747 1
24856 25281 1
24859 46697 1
5300 26483 1
12185 32329 1
20132 25423 1
12178 36738 1
39344 45922 1
10674 28889 1
39091 41331 1
12105 29156 1
12105 18151 1
14144 36531 1
19783 29988 1
5486 12944 1
39056 49717 1
8993 17052 1
19760 45122 1
5464 10314 1
8992 34975 1
32139 41743 1
8978 36379 1
19708 43940 1
5535 6881 1
3313 6065 1
25077 39188 1
25082 43857 1
28315 46779 1
19825 21080 1
441 23737 1
24977 33513 1
32007 32973 1
12132 39094 1
10642 31295 1
32079 35600 1
10647 36047 1
5449 39200 1
9022 13410 1
5268 23034 1
25020 36878 1
9011 12223 1
108 39657 1
25032 30846 1
1463 45699 1
25033 48431 1
14138 21836 1
19816 27451 1
28353 28590 1
5078 33501 1
12291 19078 1
3467 32460 1
2266 26884 1
31456 44282 1
31465 35390 1
128 7844 1
20619 48812 1
20615 23847 1
5078 10162 1
13789 31143 1
10516 20562 1
20602 33359 1
3458 24642 1
24682 32136 1
43577 46930 1
20588 23299 1
39746 45364 1
13814 48713 1
5092 12884 1
5029 29305 1
13734 31939 1
31340 44650 1
9316 40537 1
1634 8152 1
20759 27960 1
374 49705 1
13757 43352 1
20746 48793 1
28578 42468 1
43601 43653 1
24632 27461 1
5045 15979 1
12300 21943 1
9292 19486 1
28574 35107 1
39833 44125 1
20690 22754 1
5050 41120 1
5054 8810 1
13950 49299 1
31673 44810 1
31692 48044 1
24780 36204 1
24781 26083 1
3417 16465 1
5231 14360 1
5231 18797 1
5238 30968 1
5245 6891 1
31669 48606 1
39503 40462 1
20254 22168 1
1540 49738 1
31747 40593 1
9149 37630 1
20225 46481 1
10580 26729 1
20225 45014 1
31783 37888 1
20450 33597 1
31490 38749 1
